editTopo.py edits file version 1
#
# This file can be used as an argument for editTopo.py --apply
#
# created: Sun Sep  6 11:41:01 2020
# by: aek156
# via: ./topogtools/editTopo.py --ref /g/data/ik11/inputs/access-om2/input_20200530/mom_025deg/topog.nc topog_new_deseas_partialcell_mindepth_masked_fixnonadvective.nc
#
# These fill in the enclosed Sulu Sea basin up to the sill depth of 503m, as was done in the previous topography
# /g/data/ik11/inputs/access-om2/input_20200530/mom_025deg/topog.nc 
#
#   i    j  old                 new
  167  527  1279.462646484375   503.0520935058594
  166  527  3595.80224609375    503.0520935058594
  166  526  880.4566650390625   503.0520935058594
  165  526  2136.22119140625    503.0520935058594
  164  526  3969.022216796875   503.0520935058594
  164  525  1328.1256103515625  503.0520935058594
  163  524  938.4444580078125   503.0520935058594
  162  524  2294.311279296875   503.0520935058594
  161  523  2037.26708984375    503.0520935058594
  157  522  1407.994384765625   503.0520935058594
  158  522  1478.0267333984375  503.0520935058594
  159  522  1579.2425537109375  503.0520935058594
  160  522  1407.994384765625   503.0520935058594
  165  539  961.63916015625     503.0520935058594
  164  539  961.63916015625     503.0520935058594
  163  539  862.50732421875     503.0520935058594
  162  539  1096.24560546875    503.0520935058594
  161  539  1075.5677490234375  503.0520935058594
  159  538  811.779296875       503.0520935058594
  160  539  583.1878051757812   503.0520935058594
  168  540  748.7681274414062   103.16720581054688
  169  539  627.6714477539062   289.8253173828125
  169  538  627.6714477539062   289.8253173828125
  165  525  514.2327270507812   299.8152770996094
  156  535  1943.1112060546875  503.0520935058594
  156  534  1948.4039306640625  503.0520935058594
  156  533  2062.29345703125    503.0520935058594
  156  532  2029.840087890625   503.0520935058594
  156  531  1948.4039306640625  503.0520935058594
  156  530  1948.4039306640625  503.0520935058594
  156  529  2503.053466796875   503.0520935058594
  156  528  2969.3232421875     503.0520935058594
  156  527  2923.0390625        503.0520935058594
  156  526  2865.832275390625   503.0520935058594
  156  525  2907.06005859375    503.0520935058594
  156  524  2628.993408203125   503.0520935058594
  157  523  2692.28271484375    503.0520935058594
  157  524  3259.42236328125    503.0520935058594
  157  525  3258.564453125      503.0520935058594
  157  526  3289.52783203125    503.0520935058594
  157  527  2854.001220703125   503.0520935058594
  157  528  2901.804443359375   503.0520935058594
  157  529  2969.3232421875     503.0520935058594
  157  530  2951.8134765625     503.0520935058594
  157  531  2089.837890625      503.0520935058594
  157  532  1904.9989013671875  503.0520935058594
  157  533  1869.3634033203125  503.0520935058594
  157  534  1948.4039306640625  503.0520935058594
  157  535  1948.4039306640625  503.0520935058594
  158  536  1797.5401611328125  503.0520935058594
  158  535  1797.5401611328125  503.0520935058594
  158  534  1223.1402587890625  503.0520935058594
  158  533  1407.994384765625   503.0520935058594
  158  532  1615.35888671875    503.0520935058594
  158  531  2742.294189453125   503.0520935058594
  158  530  3397.657958984375   503.0520935058594
  158  529  3397.657958984375   503.0520935058594
  158  528  3294.72998046875    503.0520935058594
  158  527  3512.65966796875    503.0520935058594
  158  526  3613.85693359375    503.0520935058594
  158  525  3546.1923828125     503.0520935058594
  158  524  3531.71240234375    503.0520935058594
  158  523  3363.47021484375    503.0520935058594
  159  523  3315.578125         503.0520935058594
  159  524  3996.468994140625   503.0520935058594
  159  525  3874.55712890625    503.0520935058594
  159  526  3830.9892578125     503.0520935058594
  159  527  3830.9892578125     503.0520935058594
  159  528  3752.45458984375    503.0520935058594
  159  529  3830.9892578125     503.0520935058594
  159  530  3359.993408203125   503.0520935058594
  159  531  3182.686767578125   503.0520935058594
  159  532  2223.87548828125    503.0520935058594
  159  535  1128.103515625      503.0520935058594
  159  536  1407.994384765625   503.0520935058594
  159  537  1407.994384765625   503.0520935058594
  160  538  1128.103515625      503.0520935058594
  160  537  1407.994384765625   503.0520935058594
  160  536  1407.994384765625   503.0520935058594
  160  535  1178.106689453125   503.0520935058594
  160  534  1406.73681640625    503.0520935058594
  160  533  2118.324462890625   503.0520935058594
  160  532  3182.686767578125   503.0520935058594
  160  531  3068.564453125      503.0520935058594
  160  530  3613.85693359375    503.0520935058594
  160  529  4024.8291015625     503.0520935058594
  160  528  3946.2412109375     503.0520935058594
  160  527  4048.002197265625   503.0520935058594
  160  526  4249.68115234375    503.0520935058594
  160  525  4267.20361328125    503.0520935058594
  160  524  4048.8291015625     503.0520935058594
  160  523  2731.54248046875    503.0520935058594
  161  524  3225.680908203125   503.0520935058594
  161  525  4267.20361328125    503.0520935058594
  161  526  4267.20361328125    503.0520935058594
  161  527  4239.8505859375     503.0520935058594
  161  528  4126.5966796875     503.0520935058594
  161  529  4140.064453125      503.0520935058594
  161  530  3605.02685546875    503.0520935058594
  161  531  3613.85693359375    503.0520935058594
  161  532  3089.473388671875   503.0520935058594
  161  533  2432.393310546875   503.0520935058594
  161  534  1579.2425537109375  503.0520935058594
  161  535  1579.2425537109375  503.0520935058594
  161  537  1407.994384765625   503.0520935058594
  161  538  1407.994384765625   503.0520935058594
  162  538  1345.677001953125   503.0520935058594
  162  537  1407.994384765625   503.0520935058594
  162  536  1407.994384765625   503.0520935058594
  162  534  1529.949462890625   503.0520935058594
  162  533  2515.146728515625   503.0520935058594
  162  532  2882.510009765625   503.0520935058594
  162  531  3687.28271484375    503.0520935058594
  162  530  3937.10888671875    503.0520935058594
  162  529  4267.20361328125    503.0520935058594
  162  528  4178.86669921875    503.0520935058594
  162  527  4267.20361328125    503.0520935058594
  162  526  4267.20361328125    503.0520935058594
  162  525  3937.44775390625    503.0520935058594
  163  525  3182.686767578125   503.0520935058594
  163  526  4267.20361328125    503.0520935058594
  163  527  4267.20361328125    503.0520935058594
  163  528  4267.20361328125    503.0520935058594
  163  529  4267.20361328125    503.0520935058594
  163  530  4178.18017578125    503.0520935058594
  163  531  4138.9736328125     503.0520935058594
  163  532  3771.19677734375    503.0520935058594
  163  533  3489.2978515625     503.0520935058594
  163  534  3021.320556640625   503.0520935058594
  162  535  1506.4622802734375  503.0520935058594
  161  536  1407.994384765625   503.0520935058594
  163  535  1317.2537841796875  503.0520935058594
  163  536  1279.462646484375   503.0520935058594
  163  537  1407.994384765625   503.0520935058594
  163  538  1247.3297119140625  503.0520935058594
  164  538  1247.3297119140625  503.0520935058594
  164  537  1129.537841796875   503.0520935058594
  164  536  886.5921630859375   503.0520935058594
  164  535  3131.830078125      503.0520935058594
  164  534  3613.85693359375    503.0520935058594
  164  533  3597.296875         503.0520935058594
  164  532  4253.48876953125    503.0520935058594
  164  531  4267.20361328125    503.0520935058594
  164  530  4267.20361328125    503.0520935058594
  164  529  4310.95947265625    503.0520935058594
  164  528  4407.556640625      503.0520935058594
  164  527  4485.98193359375    503.0520935058594
  165  527  4485.98193359375    503.0520935058594
  165  528  4485.98193359375    503.0520935058594
  165  529  4485.98193359375    503.0520935058594
  165  530  4186.724609375      503.0520935058594
  165  531  4094.683837890625   503.0520935058594
  165  532  4267.20361328125    503.0520935058594
  165  533  3874.55712890625    503.0520935058594
  165  534  3895.79541015625    503.0520935058594
  165  535  3667.41455078125    503.0520935058594
  165  536  1710.5352783203125  503.0520935058594
  165  537  519.5255737304688   339.7750244140625
  165  538  862.50732421875     503.0520935058594
  166  539  961.63916015625     503.0520935058594
  166  538  2143.664794921875   503.0520935058594
  166  537  2904.239013671875   503.0520935058594
  166  536  4048.8291015625     503.0520935058594
  166  535  4048.8291015625     503.0520935058594
  166  534  4485.98193359375    503.0520935058594
  166  533  4705.06396484375    503.0520935058594
  166  532  4644.30322265625    503.0520935058594
  166  531  4485.98193359375    503.0520935058594
  166  530  4267.20361328125    503.0520935058594
  166  529  4485.98193359375    503.0520935058594
  166  528  4485.98193359375    503.0520935058594
  167  529  3573.694580078125   503.0520935058594
  167  530  4048.8291015625     503.0520935058594
  167  531  4435.76904296875    503.0520935058594
  167  532  4705.06396484375    503.0520935058594
  167  533  4705.06396484375    503.0520935058594
  167  534  4310.95947265625    503.0520935058594
  167  535  4008.807861328125   503.0520935058594
  167  536  3929.2861328125     503.0520935058594
  167  537  2969.3232421875     503.0520935058594
  167  538  2143.664794921875   503.0520935058594
  167  539  950.2531127929688   503.0520935058594
  168  535  3345.453369140625   503.0520935058594
  168  534  3891.75048828125    503.0520935058594
  168  533  4267.20361328125    503.0520935058594
  168  532  4138.00244140625    503.0520935058594
  169  532  4112.18994140625    503.0520935058594
  169  533  4248.8212890625     503.0520935058594
  169  534  2718.849365234375   503.0520935058594
  170  534  2385.406005859375   503.0520935058594
  170  533  3994.23779296875    503.0520935058594
  170  532  4044.638916015625   503.0520935058594
